id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
68356421,,22400,22400,22400, 60 months,12.88,508.3,C,C2,Executive Director,6 years,MORTGAGE,95000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68356421,,debt_consolidation,Debt consolidation,290xx,SC,22.98,0,Apr-95,710,714,0,54,,16,0,13028,32.7,35,w,9912.88,9912.88,19275.33,19275.33,12487.12,6788.21,0,0,0,19-Feb,508.3,19-Apr,19-Mar,589,585,0,54,1,Individual,,,,0,0,376218,1,5,0,3,17,171328,67,3,6,8121,54,39800,1,5,0,9,23514,12617,39.9,0,0,150,248,1,1,5,1,,14,,2,3,8,4,5,15,10,15,8,16,0,0,0,3,97,25,0,0,436841,184356,21000,191682,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68426545,,16000,16000,16000, 60 months,12.88,363.07,C,C2,Senior Structural Designer,1 year,MORTGAGE,70000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68426545,,debt_consolidation,Debt consolidation,786xx,TX,26.4,0,Feb-88,720,724,0,,,13,0,28705,56.3,29,w,7080.7,7080.7,13768.04,13768.04,8919.3,4848.74,0,0,0,19-Feb,363.07,19-Apr,19-Mar,754,750,0,,1,Individual,,,,0,0,265836,0,2,0,2,13,33702,74,1,1,8739,64,51000,0,0,1,3,24167,17922,61,0,0,147,334,9,9,2,9,,11,,0,4,6,5,12,6,10,21,6,13,0,0,0,1,100,60,0,0,309638,62407,45900,45838,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68338832,,1400,1400,1400, 36 months,12.88,47.1,C,C2,Logistics Manager,3 years,MORTGAGE,64000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68338832,,other,,275xx,NC,34.95,0,Jun-96,700,704,0,,,17,0,37828,67.2,24,w,0,0,1575.160698,1575.16,1400,175.16,0,0,0,17-Mar,965.36,,18-Sep,704,700,0,,1,Individual,,,,0,0,325695,1,3,1,2,2,37430,67,0,2,7386,67,56300,0,2,0,4,19159,7940,77,0,0,46,234,18,2,4,28,,18,,0,7,11,8,11,3,12,17,11,17,0,0,0,1,100,75,0,0,372109,75258,34500,55501,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
66624733,,18000,18000,18000, 60 months,19.48,471.7,E,E2,Software Manager,7 years,RENT,150000,Not Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=66624733,,debt_consolidation,Debt consolidation,916xx,CA,9.39,0,5-Jun,665,669,1,,75,18,1,14052,40.7,27,w,0,0,9452.74,9452.74,3481.86,4351.98,0,1618.9,291.402,17-May,471.7,,17-Nov,584,580,0,,1,Individual,,,,0,60,36247,2,2,1,3,2,22195,71,2,4,1271,55,34500,2,1,2,7,2014,5128,51.3,0,0,115,112,1,1,2,9,,2,,0,6,13,7,8,6,16,19,13,18,0,0,0,3,100,14.3,1,0,65819,36247,10300,31319,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68466961,,28000,28000,28000, 36 months,6.49,858.05,A,A2,Senior Manager,10+ years,MORTGAGE,92000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466961,,debt_consolidation,Debt consolidation,275xx,NC,21.6,0,May-84,720,724,0,42,,16,0,51507,64.5,24,w,0,0,29939.01773,29939.02,28000,1939.02,0,0,0,17-May,17093.51,,19-Mar,764,760,0,,1,Individual,,,,0,0,221110,0,2,0,0,27,23413,55,0,1,8752,61,79900,0,1,0,1,13819,16623,59.9,0,0,82,379,19,19,2,19,48,,42,0,7,9,9,11,4,13,18,9,16,0,0,0,0,91.7,22.2,0,0,304003,74920,41500,42503,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68354783,,9600,9600,9600, 36 months,7.49,298.58,A,A4,tech,8 years,MORTGAGE,60000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68354783,,credit_card,Credit card refinancing,299xx,SC,22.44,0,Jun-96,695,699,0,,,7,0,7722,59.4,9,w,0,0,10636.09843,10636.1,9600,1036.1,0,0,0,18-Feb,3480.17,,18-Aug,779,775,0,,1,Individual,,,,0,0,55387,0,3,0,0,47,47665,43,2,2,4744,50,13000,0,0,2,2,7912,4778,61.8,0,0,234,91,9,9,0,11,,9,,0,3,3,3,3,5,4,4,3,7,0,0,0,2,100,66.7,0,0,88635,55387,12500,75635,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68466916,,25000,25000,25000, 36 months,7.49,777.55,A,A4,Sales Manager,10+ years,MORTGAGE,109000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466916,,debt_consolidation,Debt consolidation,226xx,VA,26.02,0,1-Dec,745,749,1,,,9,0,20862,54.3,19,w,0,0,26224.23,26224.23,25000,1224.23,0,0,0,16-Sep,20807.39,,17-Apr,724,720,0,,1,Individual,,,,0,0,305781,0,3,0,1,13,47194,58,0,1,8937,57,38400,1,0,1,2,33976,17538,54.3,0,0,142,168,13,13,3,13,,0,,0,3,3,5,6,7,5,9,3,9,0,0,0,0,100,20,0,0,373572,68056,38400,82117,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68577849,,18000,18000,18000, 60 months,11.99,400.31,C,C1,GS-11,10+ years,MORTGAGE,112000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68577849,,debt_consolidation,Debt consolidation,856xx,AZ,8.68,0,Nov-93,800,804,0,,,17,0,10711,15.5,27,w,0,0,18387.22,18387.22,18000,387.22,0,0,0,16-Mar,18004.9,,19-Mar,794,790,0,,1,Individual,,,,0,0,205067,3,1,2,2,3,25416,97,2,3,7672,38,82400,0,1,1,5,17089,60336,16.7,0,0,109,265,1,1,4,1,,10,,0,5,6,12,12,6,15,17,6,16,0,0,0,4,100,0,0,0,309710,36127,69800,26210,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68506798,,23000,23000,23000, 60 months,8.49,471.77,B,B1,Teacher,5 years,RENT,64000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68506798,,credit_card,Credit card refinancing,117xx,NY,18.28,0,1-Sep,700,704,0,29,,21,0,24940,52.7,33,w,9580.2,9580.2,17900.14,17900.14,13419.8,4480.34,0,0,0,19-Feb,471.77,19-Apr,19-Mar,744,740,0,,1,Individual,,,,0,0,63886,0,7,0,0,42,38946,84,2,3,9516,68,47300,0,3,1,3,3549,15603,60.5,0,0,163,171,8,8,0,12,30,8,29,0,6,8,7,8,14,14,19,8,21,0,0,0,2,87.9,14.3,0,0,93962,63886,39500,46662,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68495092,,8650,8650,8650, 36 months,19.89,320.99,E,E3,Program Coordinator ,8 years,RENT,55000,Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68495092,,debt_consolidation,Debt consolidation,462xx,IN,25.49,0,5-Mar,675,679,4,,30,18,1,9568,46,19,w,0,0,9190.49,9190.49,8650,540.49,0,0,0,16-May,8251.42,,16-Jun,639,635,0,,1,Individual,,,,0,0,18926,6,1,0,1,19,9358,51,12,16,653,46,20750,2,0,5,17,1051,1375,45,0,0,129,95,0,0,0,8,,0,,0,2,17,2,2,2,17,17,13,18,,0,0,12,100,50,1,0,38998,18926,2750,18248,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68566886,,29900,29900,29900, 60 months,12.88,678.49,C,C2,Corporate Insurance,10+ years,MORTGAGE,65000,Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68566886,,debt_consolidation,Debt consolidation,219xx,MD,21.77,0,4-May,715,719,0,,,15,0,31682,46.7,31,w,0,0,34033.21418,34033.21,29900,4133.21,0,0,0,17-Mar,25234.24,,18-Jan,719,715,0,,1,Individual,,,,0,0,220251,2,1,1,2,9,10815,69,3,5,12971,51,67800,0,4,1,7,15732,18383,45.9,0,0,114,139,5,5,2,5,,9,,0,2,5,4,9,8,13,21,5,15,0,0,0,4,100,25,0,0,271700,42497,34000,15574,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68009401,,16000,16000,16000, 60 months,14.85,379.39,C,C5,Bookkeeper/Accounting,10+ years,MORTGAGE,48000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68009401,,credit_card,Credit card refinancing,297xx,SC,33.18,0,Jun-91,685,689,0,33,2,11,2,19108,29.6,19,w,0,0,19498.09211,19498.09,16000,3498.09,0,0,0,17-Sep,12322.68,,17-Sep,664,660,0,33,1,Individual,,,,0,0,31329,1,2,1,2,6,12221,91,1,4,14982,65,284700,0,0,1,6,2848,263953,17.6,0,0,131,294,11,6,2,11,76,11,76,2,6,9,6,8,6,9,11,9,11,0,0,0,2,78.9,0,0,2,298100,31329,281300,13400,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68476702,,28000,28000,28000, 36 months,13.44,949.38,C,C3,Director of Product Development ,2 years,OWN,125000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476702,,debt_consolidation,Debt consolidation,100xx,NY,7.49,0,May-00,695,699,0,,,6,0,22780,63.1,22,w,0,0,33320.39332,33320.39,28000,5320.39,0,0,0,17-Dec,12486.3,,19-Mar,744,740,0,,1,Individual,,,,0,0,22780,0,0,0,0,64,0,,0,1,6881,63,36100,0,0,1,1,3797,10607,63.4,0,0,113,187,22,22,0,22,,10,,0,4,4,5,10,3,6,19,5,6,0,0,0,0,100,40,0,0,36100,22780,29000,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68436666,,5000,5000,5000, 36 months,13.44,169.54,C,C3,General Manager,2 years,RENT,79000,Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68436666,,credit_card,Credit card refinancing,214xx,MD,12.7,0,11-Oct,665,669,0,,,3,0,9441,101.5,5,w,0,0,6117.453197,6117.45,5000,1117.45,0,0,0,19-Jan,169.17,,19-Mar,659,655,0,,1,Individual,,,,0,0,35653,0,1,0,1,19,26212,83,0,0,4360,87,9300,2,0,0,1,11884,0,101.4,0,0,50,36,32,19,0,36,,19,,0,1,2,1,1,3,2,2,2,3,0,0,0,0,100,100,0,0,41091,35653,4300,31791,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68476715,,6000,6000,6000, 36 months,7.49,186.61,A,A4,Analyst,10+ years,MORTGAGE,100000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476715,,debt_consolidation,Debt consolidation,750xx,TX,13.28,1,May-94,695,699,1,15,,9,0,8563,72,16,w,0,0,6711.710107,6711.71,6000,711.71,0,0,0,19-Jan,186.6,,19-Mar,719,715,0,,1,Individual,,,,0,0,116195,0,2,0,0,28,12525,35,0,1,2260,45,11900,0,1,1,1,12911,437,88.5,0,0,124,259,18,18,2,36,15,6,15,0,2,4,2,6,4,5,9,4,9,0,0,0,0,93.7,50,0,0,156354,22741,3800,36083,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67849662,,4225,4225,4225, 36 months,14.85,146.16,C,C5,mechanic,5 years,RENT,35000,Source Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67849662,,debt_consolidation,Debt consolidation,672xx,KS,15.22,2,11-Jul,725,729,0,18,,6,0,1058,24.6,6,w,0,0,2558.87,2558.87,1536.9,653.6,0,368.37,66.3066,17-Apr,146.16,,17-Dec,499,0,0,,1,Individual,,,,0,0,4888,0,1,0,0,47,3830,22,0,0,367,22,4300,0,0,0,0,815,2233,14.1,0,0,47,53,26,26,0,26,,14,18,0,1,2,3,3,1,5,5,2,6,0,0,0,0,66.7,0,0,0,21822,4888,2600,17522,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68596180,,20000,20000,20000, 36 months,5.32,602.3,A,A1,driver,9 years,OWN,65000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68596180,,debt_consolidation,Debt consolidation,125xx,NY,18.83,0,May-91,835,839,1,,,12,0,2269,3,17,w,0,0,21631.72433,21631.72,20000,1631.72,0,0,0,18-Aug,3577.5,,18-Aug,809,805,0,,1,Individual,,,,0,0,15444,0,2,0,1,15,13175,44,0,1,1448,15,76200,2,0,1,2,1287,73931,3,0,0,63,295,19,15,0,19,,4,,0,3,3,10,11,4,10,13,3,12,0,0,0,0,100,0,0,0,106217,15444,76200,30017,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68526907,,16000,16000,16000, 60 months,17.97,406.04,D,D4,Professional Sales Associate,< 1 year,MORTGAGE,109000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68526907,,debt_consolidation,Debt consolidation,880xx,NM,23.35,0,2-Apr,680,684,1,,,11,0,42469,87.6,33,w,0,0,17471.57,17471.57,16000,1471.57,0,0,0,16-Jul,15481.3,,16-Jul,679,675,0,,1,Individual,,,,0,0,182936,2,2,2,2,3,20689,94,1,3,8897,90,48500,0,3,1,5,16631,0,100.8,0,0,149,164,3,3,1,13,,1,,0,3,6,3,13,10,8,22,6,11,0,0,0,3,100,100,0,0,228050,63158,15800,22000,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68607141,,17600,17600,17600, 36 months,5.32,530.03,A,A1,Network Security Specialist III,< 1 year,MORTGAGE,88000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68607141,,credit_card,Credit card refinancing,672xx,KS,26.59,0,1-May,780,784,0,,,20,0,12203,34.4,42,w,0,0,18305.08,18305.08,17600,705.08,0,0,0,16-Nov,17.88,,18-Aug,779,775,0,,1,Individual,,,,0,0,229082,0,10,1,4,9,68644,74,0,0,9347,63,35500,2,6,1,5,12057,11397,51.7,0,0,160,175,37,9,5,37,,10,,0,2,2,4,7,24,8,13,2,20,0,0,0,1,100,0,0,0,285027,80847,23600,92701,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
