Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
25000,5/30/2007,toeeeekne,671,4.50%,483xx,FL,2 years,0
1000,5/30/2007,stnthoma22,429,15.92%,462xx,IN,2 years,0
6500,5/30/2007,natbunn,632,12.98%,773xx,TX,< 1 year,0
2000,5/30/2007,SGearhart1381,579,32.64%,658xx,MO,< 1 year,0
15000,5/30/2007,2dozen,474,1.55%,453xx,OH,4 years,0
6000,5/30/2007,Good Heart Bad Credit!,463,12.34%,953xx,CA,1 year,0
2500,5/31/2007,mbcoon,593,18.43%,790xx,TX,1 year,0
12500,5/31/2007,boardwalk,578,31.82%,775xx,TX,9 years,0
3000,5/31/2007,danthe83,536,0%,551xx,MN,< 1 year,0
7500,5/31/2007,maryk2001,524,61.47%,316xx,GA,5 years,0
5000,5/31/2007,ppatti113,520,8.93%,024xx,MA,1 year,0
5000,5/31/2007,spidermonkey07,0,6%,448xx,OH,< 1 year,0
4000,5/31/2007,brock1jd,658,43.80%,480xx,MN,< 1 year,0
1000,5/31/2007,jprice1542,0,4.61%,373xx,TN,< 1 year,0
5000,5/31/2007,mashowar,492,15.73%,474xx,IN,4 years,0
1000,5/31/2007,jaynesweet,581,28.04%,681xx,NE,2 years,0
1000,6/1/2007,memorial,543,41.35%,328xx,FL,2 years,0
6025,6/1/2007,Fleurdetragedie,660,69.84%,301xx,GA,2 years,0
10000,6/1/2007,jfirson,503,61.07%,668xx,KS,1 year,0
3000,6/1/2007,cdc,556,20.91%,786xx,TX,1 year,0
10000,6/1/2007,katiemass,480,8.70%,452xx,OH,1 year,0
2100,6/1/2007,A clean sweep before buying a new house,684,10%,208xx,MD,1 year,0
5000,6/1/2007,kennysack,592,53.76%,477xx,IN,< 1 year,0
10000,6/1/2007,dreamerabove,600,3.84%,021xx,MA,< 1 year,0
1200,6/1/2007,jflack,524,0%,720xx,AR,4 years,0
4000,6/1/2007,ceodiva,460,0%,302xx,GA,< 1 year,0
15000,6/1/2007,joelforeman,654,27.48%,328xx,FL,2 years,0
1000,6/1/2007,auburnmk23,486,12.40%,368xx,AL,< 1 year,0
2500,6/1/2007,Scott Stowe,520,13.10%,460xx,IN,1 year,0
5000,6/1/2007,iamheatherleigh,0,0%,405xx,KY,5 years,0
2500,6/1/2007,Paying for college,547,29.16%,331xx,FL,< 1 year,0
1000,6/1/2007,alivrum,454,7.68%,434xx,OH,< 1 year,0
5000,6/2/2007,wbnd44,509,20%,436xx,OH,1 year,0
5000,6/2/2007,skyydogg,0,0%,535xx,WI,1 year,0
1500,6/2/2007,Svengar7,665,0%,191xx,PA,< 1 year,0
1000,6/2/2007,sopinksolovely,454,11.12%,113xx,NY,2 years,0
1000,6/2/2007,angelbabe,561,1.07%,104xx,NY,< 1 year,0
8000,6/2/2007,K9Genetics,565,11.67%,852xx,AZ,1 year,0
3500,6/2/2007,zminer,479,1.73%,805xx,CO,< 1 year,0
2500,6/2/2007,moecheeks21,444,0%,674xx,KS,< 1 year,0
25000,6/2/2007,Lilly,549,20.06%,852xx,AZ,4 years,0
4500,6/2/2007,QuisyFBaby,599,16.80%,212xx,MD,< 1 year,0
2000,6/3/2007,thesassaman,650,0%,980xx,WA,< 1 year,0
10000,6/3/2007,regan117,607,23.10%,182xx,PA,1 year,0
3500,6/3/2007,manx203,0,0%,151xx,PA,< 1 year,0
5000,6/3/2007,eswist,419,3.48%,773xx,TX,1 year,0
11000,6/3/2007,Consolidate Prosper,758,37.30%,972xx,OR,1 year,0
1500,6/3/2007,matt12amazing,504,27.45%,660xx,KS,< 1 year,0
1500,6/4/2007,dEs,711,58.80%,303xx,GA,1 year,0
1000,6/4/2007,I'm trying to repair my credit by paying off some old debts.,530,8.51%,722xx,AR,< 1 year,0
7000,6/4/2007,jd2427,473,23.96%,300xx,GA,< 1 year,0
25000,6/4/2007,Annieb6283,606,4.90%,191xx,PA,< 1 year,0
10000,6/4/2007,LenaPresley,502,0%,282xx,NC,< 1 year,0
4000,6/4/2007,bhissam,497,9.87%,261xx,WV,1 year,0
2500,6/4/2007,Jonelle's Study Abroad,709,10%,112xx,NY,< 1 year,0
3000,6/4/2007,belle54304,412,20.01%,543xx,WI,1 year,0
1000,6/4/2007,KB143,506,13.01%,372xx,TN,3 years,0
7500,6/4/2007,fsallustio,472,14.36%,021xx,MA,7 years,0
2000,6/4/2007,mlishuslymotvatd,507,0%,137xx,NY,< 1 year,0
1000,6/4/2007,Gballgamer,567,16.58%,805xx,CO,< 1 year,0
1100,6/4/2007,MATTHEW,551,0.72%,334xx,FL,4 years,0
3000,6/4/2007,saxman6160,0,4.05%,800xx,CO,< 1 year,0
1000,6/5/2007,queenlurline,0,0.86%,846xx,UT,< 1 year,0
7000,6/5/2007,chrisw1025,607,39.79%,278xx,NC,2 years,0
1000,6/5/2007,ErikBell,0,6.55%,800xx,CO,4 years,0
5000,6/5/2007,baileykearns,552,1.60%,450xx,OH,2 years,0
1300,6/5/2007,kimbbarr,643,22.50%,085xx,NJ,2 years,0
500,6/5/2007,Kiana_Noelle,547,18.52%,207xx,MD,4 years,0
1000,6/5/2007,Raistlan,647,7.21%,980xx,WA,7 years,0
1000,6/5/2007,chynadoll3586,531,493.60%,480xx,AL,1 year,0
3000,6/6/2007,Keith24601,612,6.72%,081xx,NJ,< 1 year,0
2000,6/6/2007,nicole38,656,5.51%,212xx,MD,1 year,0
5000,6/6/2007,Butterfly,528,18.40%,236xx,VA,2 years,0
2000,6/6/2007,speedy079,558,10.85%,085xx,NJ,5 years,0
10000,6/6/2007,demarishargett,461,14.76%,283xx,NC,3 years,0
6700,6/6/2007,LoveLearn,522,4.17%,302xx,GA,2 years,0
20000,6/6/2007,Back To School,690,0.40%,079xx,NJ,< 1 year,0
3400,6/6/2007,scooterodell,559,24.36%,145xx,NY,9 years,0
5000,6/6/2007,crazymacguy,633,13.03%,539xx,WI,< 1 year,0
8000,6/6/2007,TheresaF,481,12.21%,441xx,OH,< 1 year,0
6000,6/7/2007,tjudith,679,26.07%,232xx,VA,< 1 year,0
5000,6/8/2007,1OTH-MOUNTAIN-MAN,494,5.86%,136xx,NY,< 1 year,0
9500,6/8/2007,moneywise,582,1.47%,998xx,AK,1 year,0
3500,6/8/2007,tmsworld,583,3.12%,100xx,NY,< 1 year,0
1500,6/8/2007,Sapphieangel008,468,3.98%,452xx,OH,< 1 year,0
10000,6/8/2007,FSUgirl,565,6.48%,323xx,FL,< 1 year,0
10000,6/8/2007,GRNGLD08,576,46.15%,233xx,VA,< 1 year,0
800,6/8/2007,mozizzle86,696,24%,112xx,NY,< 1 year,0
10000,6/8/2007,brianmikalw,559,0%,136xx,NY,< 1 year,0
5000,6/8/2007,thephotoguy.seth,545,10.18%,337xx,TN,< 1 year,0
6000,6/8/2007,Chase,602,2.36%,354xx,AL,< 1 year,0
1000,6/8/2007,sgeorges86,626,3%,292xx,SC,< 1 year,0
1000,6/8/2007,meep737,640,5.51%,430xx,OH,1 year,0
15000,6/9/2007,laurel,528,34.27%,136xx,NY,< 1 year,0
2500,6/9/2007,kyrstyn,509,14.16%,171xx,PA,< 1 year,0
16000,6/9/2007,Eagle8XC Tuition loan,667,22.98%,056xx,VT,1 year,0
2000,6/9/2007,Emmyboo0569,607,6.91%,238xx,VA,1 year,0
4000,6/9/2007,jweme,609,14.50%,328xx,FL,< 1 year,0
2000,6/9/2007,Bizounce,450,14.34%,554xx,MN,< 1 year,0
3000,6/9/2007,lmhsfan,,9.26%,805xx,CO,< 1 year,0
6000,6/9/2007,Chuck Ave,492,12%,641xx,MO,< 1 year,0
2500,6/10/2007,RebelGrad07,549,21.94%,388xx,MS,7 years,0
3000,6/10/2007,mtalty,481,60.11%,462xx,IN,3 years,0
6000,6/10/2007,brint,716,4042.11%,752xx,TX,< 1 year,0
17000,6/10/2007,Consolidating credit cards,653,5.96%,212xx,MD,4 years,0
5000,6/10/2007,jedurs,621,2.60%,231xx,VA,< 1 year,0
7500,6/10/2007,Charles,629,45.95%,322xx,FL,6 years,0
15000,6/11/2007,vervec,615,15%,024xx,MA,8 years,0
4000,6/11/2007,Debt Consolidation,608,0%,558xx,MN,< 1 year,0
4000,6/11/2007,Nickolae3,628,6.36%,403xx,KY,< 1 year,0
1000,6/11/2007,Alison,585,24%,803xx,CO,< 1 year,0
1500,6/11/2007,jaja9487,493,6.40%,457xx,OH,1 year,0
6500,6/11/2007,Sammy,512,1.84%,021xx,MA,9 years,0
5000,6/11/2007,Mattd,598,24.70%,300xx,GA,1 year,0
4000,6/11/2007,mattwalker,490,36.92%,235xx,VA,4 years,0
1500,6/11/2007,nfields1,588,9.23%,395xx,MS,< 1 year,0
1000,6/11/2007,luckyspirit,612,36.70%,658xx,MO,1 year,0
10000,6/12/2007,ali82fla,503,17.30%,336xx,FL,2 years,0
6000,6/12/2007,dirtbag05,454,21.60%,240xx,VA,< 1 year,0
25000,6/12/2007,peytongunn,512,0.77%,287xx,NC,< 1 year,0
10000,6/12/2007,ejsejsejs,0,0%,641xx,MO,1 year,0
4975,6/12/2007,triple007,523,1.84%,302xx,GA,8 years,0
25000,6/12/2007,Friend in need,557,18.83%,463xx,IN,1 year,0
5000,6/12/2007,B_lucas,530,0%,191xx,PA,< 1 year,0
15000,6/12/2007,Oldhouserenovator,576,17.06%,014xx,MA,2 years,0
3000,6/12/2007,keep0njeepin0n,548,17.74%,299xx,SC,4 years,0
3000,6/12/2007,arod76,497,10.59%,292xx,SC,3 years,0
12000,6/12/2007,Tony_Texan,,100%,802xx,CO,< 1 year,0
14000,6/13/2007,enturio,693,27.98%,112xx,NY,3 years,0
25000,6/13/2007,AdamDJohnson,0,0%,773xx,TX,4 years,0
1000,6/13/2007,PackAttack25,489,0%,283xx,NC,< 1 year,0
11000,6/13/2007,jar73186,0,0.75%,660xx,KS,1 year,0
1000,6/13/2007,iamjames,535,4.68%,630xx,MO,2 years,0
5000,6/14/2007,Hotspitta4life,557,9.60%,125xx,NY,< 1 year,0
5000,6/14/2007,SadRobot,639,1.32%,981xx,WA,4 years,0
3000,6/14/2007,Debonair,478,48.24%,984xx,WA,1 year,0
1000,6/14/2007,jessicavk,736,25.64%,462xx,IN,2 years,0
4000,6/14/2007,Chris Anthony,640,48.60%,473xx,IN,4 years,0
12000,6/14/2007,Responsible34,536,10.15%,752xx,TX,< 1 year,0
2000,6/14/2007,lizoplex,549,27.94%,372xx,TN,< 1 year,0
2500,6/15/2007,kmdones,454,15.07%,206xx,MD,< 1 year,0
2000,6/15/2007,evolution333,522,0%,278xx,NC,< 1 year,0
7000,6/15/2007,ctg5ny,533,136.56%,306xx,GA,2 years,0
15000,6/15/2007,Tumalu,635,18.91%,750xx,TX,1 year,0
5000,6/15/2007,MizzDavis,631,20.64%,432xx,OH,1 year,0
2500,6/15/2007,djdecibal,475,42.55%,557xx,MN,1 year,0
2000,6/15/2007,bleitheiser,445,0%,532xx,WI,< 1 year,0
5000,6/15/2007,I need to refinance credit card debt that I got paying some legal fees,700,16.05%,774xx,TX,< 1 year,0
3000,6/15/2007,Selly,590,12.60%,257xx,WV,2 years,0
2500,6/15/2007,Lady_Neasha,0,8.67%,631xx,MO,1 year,0
25000,6/16/2007,emy,494,0%,331xx,FL,7 years,0
22000,6/16/2007,Stomping,645,37.09%,197xx,DE,2 years,0
2500,6/17/2007,trenee02,619,3%,372xx,TN,< 1 year,0
2000,6/17/2007,jackie1625,628,10.45%,431xx,OH,1 year,0
15000,6/17/2007,TDudai4,512,20.57%,325xx,FL,10+ years,0
5000,6/17/2007,levi,611,14.28%,652xx,MO,< 1 year,0
15000,6/17/2007,jfernando1,652,28.33%,328xx,FL,3 years,0
5000,6/17/2007,Stacked186,585,1.80%,148xx,NY,< 1 year,0
9000,6/17/2007,RKurth34,537,37.40%,991xx,WA,3 years,0
1000,6/17/2007,mansplace,525,8.36%,706xx,LA,< 1 year,0
3000,6/17/2007,AWoodard,560,4.80%,644xx,MO,1 year,0
1000,6/18/2007,young1jay,590,13.50%,067xx,CT,< 1 year,0
1500,6/18/2007,chrislee4life,470,4.44%,991xx,WA,4 years,0
10000,6/18/2007,topdog1203,490,4.02%,537xx,WI,2 years,0
10000,6/18/2007,hungwilfredo,693,31.65%,333xx,FL,3 years,0
3000,6/18/2007,jaj0165,634,17.93%,354xx,AL,10+ years,0
17000,6/18/2007,caterik,628,22.76%,481xx,MI,< 1 year,0
1000,6/18/2007,smollieolliepop,603,9.95%,760xx,TX,< 1 year,0
7000,6/18/2007,Mom wants to get rid of credit card,532,4.02%,508xx,IA,7 years,0
3000,6/18/2007,whyte_smoke_187,569,10.04%,703xx,LA,1 year,0
1000,6/19/2007,December Purchases & Christmas Shopping,628,7.80%,010xx,MA,< 1 year,0
10000,6/19/2007,Jay,605,28.46%,220xx,VA,1 year,0
4000,6/19/2007,ThePegLeg,,100%,796xx,TX,< 1 year,0
5000,6/19/2007,Dbrow113,544,32.64%,300xx,GA,2 years,0
1800,6/19/2007,ffadahunsi,516,9.33%,112xx,NY,< 1 year,0
10000,6/19/2007,strehlj,633,11.06%,336xx,FL,3 years,0
25000,6/19/2007,Tasia_Audre,483,9.26%,276xx,NC,< 1 year,0
5200,6/19/2007,jags1677,651,27.04%,605xx,IL,< 1 year,0
5000,6/19/2007,Vetri,604,26.50%,132xx,NY,1 year,0
2150,6/19/2007,KapSig,455,13.52%,532xx,WI,1 year,0
5000,6/19/2007,christinam84,594,0%,127xx,NY,1 year,0
23000,6/19/2007,Trying to consolidate debt,651,11.27%,984xx,WA,1 year,0
25000,6/19/2007,JoeMattie,642,41.64%,997xx,AK,1 year,0
2000,6/19/2007,Jlb7557,529,27.01%,925xx,CA,1 year,0
5000,6/19/2007,Nerdular,617,6.17%,982xx,UT,< 1 year,0
5000,6/20/2007,clogteachr,647,19.75%,482xx,MI,8 years,0
25000,6/20/2007,ajo,589,5.74%,560xx,MN,2 years,0
3000,6/20/2007,JoelBacon,683,4.69%,481xx,OH,2 years,0
5000,6/20/2007,Looking for some help to pay healthcare ,508,11.10%,115xx,NY,3 years,0
5000,6/20/2007,drulover4eva2000,564,24.60%,212xx,MD,10+ years,0
1000,6/20/2007,drsray55,561,67.14%,257xx,WV,2 years,0
3500,6/21/2007,mqs0420,572,0%,350xx,AL,< 1 year,0
7500,6/21/2007,mrwilson,525,24%,640xx,MO,3 years,0
1000,6/21/2007,jeremysegars,482,21.43%,752xx,TX,< 1 year,0
1500,6/21/2007,asquit,581,2.52%,660xx,KS,1 year,0
10000,6/21/2007,Loan Consolidation,635,13.35%,926xx,CA,1 year,0
4000,6/21/2007,musicjunkieg,515,12.29%,100xx,NY,< 1 year,0
12000,6/21/2007,incognito,789,22.72%,014xx,MA,5 years,0
8000,6/21/2007,One Payment Plan,595,15.67%,672xx,KS,< 1 year,0
1300,6/21/2007,micdavhen,468,11.53%,277xx,NC,1 year,0
3000,6/21/2007,echolis,543,7.30%,142xx,NY,5 years,0
2200,6/21/2007,velodave,596,0.50%,432xx,OH,2 years,0
25000,6/21/2007,callana,619,10.29%,021xx,MA,2 years,0
10000,6/21/2007,SFPT,474,12.93%,546xx,WI,< 1 year,0
1000,6/22/2007,BrianMc21,0,0%,314xx,GA,< 1 year,0
7500,6/22/2007,DonGuzz,528,0%,021xx,MA,5 years,0
1000,6/22/2007,ninjaone,646,109.20%,752xx,TX,< 1 year,0
5000,6/22/2007,operaprincess86,600,10.12%,021xx,MA,1 year,0
10000,6/22/2007,flippidot,0,0%,100xx,NY,2 years,0
3000,6/22/2007,digitalkp,594,9.07%,114xx,NY,< 1 year,0
20000,6/22/2007,zu,635,9.87%,333xx,FL,3 years,0
8500,6/22/2007,wxman,702,30.19%,735xx,OK,1 year,0
1000,6/22/2007,andyasstronaut,561,21.70%,787xx,TX,3 years,0
20000,6/22/2007,RexMundi,530,0.69%,981xx,WA,4 years,0
3500,6/23/2007,Kristen811,538,13.55%,135xx,NY,7 years,0
8000,6/23/2007,reveiled,462,12.38%,334xx,FL,< 1 year,0
9000,6/23/2007,insanebeauty222,625,2.81%,049xx,ME,< 1 year,0
4500,6/23/2007,lwilli2480,628,15.79%,958xx,CO,10+ years,0
1000,6/23/2007,audralea,710,18.80%,720xx,AR,< 1 year,0
25000,6/23/2007,wendylou65,565,43.25%,453xx,OH,10+ years,0
4000,6/23/2007,aliciaversteeg,666,6.12%,452xx,OH,< 1 year,0
20000,6/23/2007,iltschi58,549,5.20%,201xx,VA,10+ years,0
5000,6/23/2007,VTNurse,650,11%,052xx,VT,2 years,0
25000,6/24/2007,betsy1120,570,22.56%,331xx,FL,2 years,0
4000,6/24/2007,Forex,657,39.55%,773xx,TX,2 years,0
11000,6/24/2007,personal loan,655,2.09%,104xx,NY,10+ years,0
7000,6/24/2007,clean slate,647,30.79%,216xx,MD,10+ years,0
4000,6/24/2007,prettybaby80,495,0%,104xx,NY,7 years,0
1400,6/24/2007,good person,488,8.94%,104xx,NY,9 years,0
15000,6/24/2007,pap0607,695,40.78%,296xx,SC,2 years,0
5000,6/24/2007,skywater,484,6.63%,857xx,AR,8 years,0
7500,6/24/2007,coffeeman,510,3.94%,211xx,MD,6 years,0
2000,6/24/2007,biblioteach,505,1.82%,287xx,NC,10+ years,0
20000,6/24/2007,DHaywood,543,0%,104xx,NY,< 1 year,0
9000,6/24/2007,mareliz,566,38.42%,018xx,MA,< 1 year,0
10000,6/24/2007,Moanablu,535,50.76%,550xx,MN,5 years,0
20000,6/24/2007,aujosh02,671,29.12%,368xx,AL,2 years,0
1000,6/24/2007,Rockstar,601,0%,467xx,IN,1 year,0
15000,6/24/2007,Choppee,480,680.31%,294xx,SC,1 year,0
15000,6/24/2007,alc1978,534,8.58%,917xx,CO,< 1 year,0
2000,6/24/2007,tammers,535,0.75%,285xx,NC,1 year,0
15000,6/24/2007,Btmason,571,23.60%,288xx,NC,< 1 year,0
20000,6/25/2007,G,609,27.72%,881xx,NM,2 years,0
13000,6/25/2007,terbehr,583,45.78%,843xx,UT,10+ years,0
25000,6/25/2007,evajones,623,23.01%,988xx,WA,4 years,0
2000,6/25/2007,Hismtngrl,527,51.73%,806xx,CO,6 years,0
20000,6/25/2007,singlemom71,596,9.96%,717xx,AR,6 years,0
5250,6/25/2007,musics,701,0.26%,180xx,PA,< 1 year,0
4000,6/25/2007,mfalette,524,5.04%,985xx,WA,1 year,0
12000,6/25/2007,legacy1,533,16.77%,370xx,TN,< 1 year,0
2500,6/25/2007,chappy84,574,3.20%,479xx,IN,1 year,0
6000,6/25/2007,Canisius College,645,9.51%,142xx,NY,< 1 year,0
5000,6/25/2007,Pandora46,606,40.88%,216xx,MD,10+ years,0
10700,6/25/2007,lynniea5,542,10.55%,201xx,VA,< 1 year,0
3500,6/25/2007,InjunNinja,487,0%,325xx,FL,1 year,0
3000,6/25/2007,fix1925,574,0%,464xx,IN,10+ years,0
6500,6/25/2007,cpetryk,533,50.40%,074xx,NJ,4 years,0
15000,6/25/2007,heyteacher,433,3.76%,308xx,GA,10+ years,0
5000,6/25/2007,Andrea Advincula,537,47.20%,477xx,IN,3 years,0
20000,6/25/2007,Skeeter,605,0%,847xx,UT,1 year,0
18000,6/25/2007,magoo69,632,33.05%,605xx,IL,10+ years,0
5000,6/25/2007,Willdukem07,0,0%,136xx,NY,10+ years,0
5000,6/25/2007,dwgallo,600,18.22%,088xx,NJ,10+ years,0
3500,6/25/2007,sharo41,432,4.03%,765xx,TX,2 years,0
1000,6/25/2007,teamgalvan,514,11.86%,809xx,CO,2 years,0
2500,6/26/2007,cebm82,625,33.12%,310xx,GA,5 years,0
13000,6/26/2007,Georgiadawgs45,0,0%,305xx,GA,< 1 year,0
1000,6/26/2007,CrawfordsGirl,493,18.84%,551xx,MN,< 1 year,0
4000,6/26/2007,SUZIEKLIND,537,22.95%,557xx,MN,3 years,0
4000,6/26/2007,semo_train,464,100.50%,633xx,MO,< 1 year,0
25000,6/26/2007,DedMansHnd,651,41.79%,765xx,TX,10+ years,0
1000,6/26/2007,psychnurse05,554,9.19%,559xx,MN,4 years,0
500,6/26/2007,lrod420,617,22.64%,660xx,KS,< 1 year,0
25000,6/26/2007,San_Diego,646,7.94%,921xx,CO,1 year,0
5500,6/27/2007,Kratos,594,18.76%,207xx,MD,< 1 year,0
4000,6/27/2007,ga71,588,31.79%,300xx,GA,6 years,0
1000,6/27/2007,zexzcbnbabe,501,10.08%,323xx,FL,< 1 year,0
1000,6/27/2007,Help rebuild Galveston,,100%,701xx,TX,10+ years,0
1000,6/27/2007,Phill0046,509,1.84%,274xx,NC,< 1 year,0
6000,6/27/2007,singleteach,485,15.23%,805xx,CO,7 years,0
1000,6/27/2007,billkach,483,7.20%,088xx,NJ,< 1 year,0
1000,6/28/2007,orangeslices,449,16.26%,440xx,OH,< 1 year,0
20000,6/28/2007,I would be using this loan to pay off high interest credit cards and medical bills.,631,17.79%,847xx,UT,3 years,0
5000,6/28/2007,shameless,593,24.20%,530xx,WI,10+ years,0
2500,6/28/2007,roselyn26,545,15.18%,967xx,HI,1 year,0
3000,6/28/2007,Melodyrcr,639,56.27%,708xx,LA,2 years,0
20000,6/29/2007,CallianaThomas,646,25.80%,100xx,NY,< 1 year,0
3000,6/29/2007,samurai,726,20400%,089xx,NJ,< 1 year,0
1000,6/29/2007,dswilliams17,0,0%,794xx,TX,< 1 year,0
1500,6/29/2007,undonefilms,543,14.35%,030xx,NH,5 years,0
3500,6/29/2007,momtojr,661,242.83%,281xx,NC,10+ years,0
5000,6/29/2007,ikrsone12,503,3.74%,071xx,NJ,< 1 year,0
25000,6/29/2007,so1oonnet,727,6.69%,210xx,MD,< 1 year,0
1200,6/30/2007,twinsno1,586,3.63%,100xx,NY,< 1 year,0
3500,6/30/2007,resanchez,525,0%,800xx,CO,< 1 year,0
1000,6/30/2007,bigtrav2207,432,414.40%,640xx,MO,< 1 year,0
20000,6/30/2007,ms,563,33.04%,118xx,NY,5 years,0
4500,6/30/2007,Miss Stephanie,535,21.03%,104xx,NY,< 1 year,0
10000,6/30/2007,Esp-sonia,575,0%,331xx,FL,4 years,0
8000,6/30/2007,Fresh start,504,36.68%,487xx,MI,6 years,0
1500,6/30/2007,cocovanilla,491,2.54%,801xx,CO,< 1 year,0
1500,6/30/2007,suprstrmandie,0,14.40%,662xx,KS,2 years,0
2500,6/30/2007,Veganshero,456,88.40%,088xx,NJ,3 years,0
2500,6/30/2007,meghanneedsyou,544,0%,232xx,VA,< 1 year,0
15000,6/30/2007,malcolmp,592,2.37%,100xx,NY,< 1 year,0
5000,7/1/2007,JBurt0n6,507,63.50%,775xx,TX,3 years,0
3000,7/1/2007,Backon Track,522,11.96%,132xx,NY,3 years,0
2500,7/1/2007,jenjenfrench,609,12.50%,775xx,TX,< 1 year,0
25000,7/1/2007,realestate1,666,28.19%,080xx,NJ,10+ years,0
5500,7/1/2007,rdleathers1386,597,0%,303xx,GA,< 1 year,0
10000,7/1/2007,thenewlight,482,73.87%,021xx,MA,< 1 year,0
1500,7/1/2007,aquinas02,594,0%,641xx,MO,< 1 year,0
22000,7/1/2007,john123,595,17.11%,112xx,NY,1 year,0
1000,7/1/2007,My credit card is charging me 14%,720,27.21%,641xx,MO,4 years,0
20000,7/1/2007,coldspring2000,724,19.49%,410xx,KY,3 years,0
4000,7/1/2007,datboyfine,502,6.56%,191xx,PA,1 year,0
1000,7/1/2007,sardonix,676,32.80%,462xx,IN,2 years,0
1100,7/1/2007,PositiveBlack,504,6.78%,327xx,FL,< 1 year,0
25000,7/1/2007,Saxwoman2,562,15.36%,331xx,FL,< 1 year,0
8000,7/2/2007,"I intend to use this loan to pay off a credit card and most of my overdraft protection, while reducing my monthly payments (if I get my target rate).",727,47.63%,146xx,NY,4 years,0
6000,7/2/2007,lisat041475,499,18.91%,190xx,PA,9 years,0
5000,7/2/2007,sydneyausguy,632,13.43%,926xx,CT,< 1 year,0
15000,7/2/2007,ttallent,621,40.73%,379xx,TN,1 year,0
25000,7/2/2007,lil_wagner,546,34.42%,640xx,MO,< 1 year,0
3500,7/2/2007,softwarez,644,48.68%,333xx,FL,2 years,0
3000,7/2/2007,salman_khan,600,2.18%,114xx,NY,1 year,0
5000,7/2/2007,kcgyrl79,539,0%,997xx,AK,< 1 year,0
10500,7/2/2007,CrimsonApache,467,6.95%,366xx,AL,< 1 year,0
11000,7/2/2007,dseuphoria,453,6%,088xx,NJ,< 1 year,0
1000,7/2/2007,Jrb04k,561,8.17%,323xx,FL,1 year,0
8000,7/3/2007,PhD Student,500,38.40%,803xx,CO,5 years,0
13000,7/3/2007,Tmilhon,595,19.95%,322xx,FL,< 1 year,0
15000,7/3/2007,Taylor20620,519,0%,326xx,FL,1 year,0
8000,7/3/2007,skeevysteve,650,4.89%,021xx,MA,< 1 year,0
4500,7/3/2007,gmonaco21,564,14.47%,015xx,MA,< 1 year,0
21000,7/3/2007,cleancredit,641,18.43%,760xx,TX,< 1 year,0
15000,7/3/2007,angeltorres,492,28.95%,322xx,FL,2 years,0
5000,7/3/2007,mgillispie,424,5.36%,714xx,LA,< 1 year,0
